t [s],Vol [m3],P [bar],T [K],Q loss [W]
0,0.0012238,1.5815,421.642,130.44
1.00E-05,0.0012237,1.58202,421.736,130.4
2.00E-05,0.0012235,1.58252,421.83,130.57
3.00E-05,0.0012234,1.58302,421.92,130.71
4.00E-05,0.0012233,1.58352,422.006,130.85
5.00E-05,0.0012232,1.58398,422.086,130.99
6.00E-05,0.001223,1.5844,422.162,131.14
7.00E-05,0.0012229,1.58484,422.232,131.28
8.00E-05,0.0012228,1.58526,422.298,131.42
9.00E-05,0.0012227,1.58562,422.354,131.57
0.0001,0.0012225,1.58596,422.404,131.71
0.00011,0.0012224,1.58628,422.446,131.85
0.00012,0.0012223,1.58662,422.48,132
0.00013,0.0012222,1.58686,422.508,132.14
0.00014,0.001222,1.58712,422.53,132.29
0.00015,0.0012219,1.58732,422.542,132.43
0.00016,0.0012218,1.58754,422.554,132.58
0.00017,0.0012217,1.58768,422.556,132.73
0.00018,0.0012215,1.58788,422.556,132.87
0.00019,0.0012214,1.58802,422.556,133.02
0.0002,0.0012213,1.58818,422.552,133.17
0.00021,0.0012211,1.58832,422.546,133.32
0.00022,0.001221,1.58848,422.544,133.47
0.00023,0.0012209,1.58862,422.542,133.61
0.00024,0.0012208,1.5888,422.54,133.76
0.00025,0.0012206,1.589,422.544,133.91
0.00026,0.0012205,1.5892,422.55,134.06
0.00027,0.0012204,1.5894,422.564,134.21
0.00028,0.0012202,1.58964,422.58,134.36
0.00029,0.0012201,1.58988,422.6,134.52
0.0003,0.00122,1.59016,422.63,134.67
0.00031,0.0012199,1.59048,422.664,134.82
0.00032,0.0012197,1.5908,422.704,134.97
0.00033,0.0012196,1.59112,422.746,135.13
0.00034,0.0012195,1.59146,422.798,135.28
0.00035,0.0012193,1.59184,422.854,135.43
0.00036,0.0012192,1.59226,422.914,135.59
0.00037,0.0012191,1.59268,422.976,135.74
0.00038,0.0012189,1.59308,423.04,135.9
0.00039,0.0012188,1.5935,423.104,136.05
0.0004,0.0012187,1.59392,423.17,136.21
0.00041,0.0012185,1.59436,423.236,136.36
0.00042,0.0012184,1.59476,423.298,136.52
0.00043,0.0012183,1.59518,423.358,136.68
0.00044,0.0012181,1.5956,423.42,136.83
0.00045,0.001218,1.59594,423.472,136.99
0.00046,0.0012178,1.59632,423.524,137.15
0.00047,0.0012177,1.59666,423.566,137.31
0.00048,0.0012176,1.59698,423.606,137.47
0.00049,0.0012174,1.5973,423.636,137.63
0.0005,0.0012173,1.59758,423.66,137.79
0.00051,0.0012172,1.59786,423.68,137.95
0.00052,0.001217,1.59808,423.696,138.11
0.00053,0.0012169,1.59828,423.706,138.27
0.00054,0.0012167,1.59846,423.706,138.43
0.00055,0.0012166,1.59862,423.704,138.59
0.00056,0.0012165,1.59878,423.694,138.76
0.00057,0.0012163,1.59894,423.682,138.92
0.00058,0.0012162,1.59904,423.666,139.08
0.00059,0.001216,1.59916,423.646,139.25
0.0006,0.0012159,1.59928,423.622,139.41
0.00061,0.0012157,1.59936,423.6,139.58
0.00062,0.0012156,1.59946,423.572,139.74
0.00063,0.0012155,1.59954,423.544,139.91
0.00064,0.0012153,1.5996,423.516,140.07
0.00065,0.0012152,1.59972,423.488,140.24
0.00066,0.001215,1.5998,423.462,140.41
0.00067,0.0012149,1.59986,423.434,140.58
0.00068,0.0012147,1.59996,423.406,140.74
0.00069,0.0012146,1.60006,423.38,140.91
0.0007,0.0012145,1.60014,423.354,141.08
0.00071,0.0012143,1.60024,423.324,141.25
0.00072,0.0012142,1.60032,423.302,141.42
0.00073,0.001214,1.6004,423.274,141.59
0.00074,0.0012139,1.6005,423.248,141.76
0.00075,0.0012137,1.6006,423.218,141.93
0.00076,0.0012136,1.60066,423.188,142.11
0.00077,0.0012134,1.60076,423.154,142.28
0.00078,0.0012133,1.60082,423.122,142.45
0.00079,0.0012131,1.60088,423.088,142.62
0.0008,0.001213,1.6009,423.05,142.8
0.00081,0.0012128,1.60098,423.01,142.97
0.00082,0.0012127,1.60102,422.966,143.15
0.00083,0.0012125,1.60104,422.922,143.32
0.00084,0.0012124,1.60106,422.874,143.5
0.00085,0.0012122,1.60106,422.826,143.67
0.00086,0.0012121,1.60108,422.772,143.85
0.00087,0.0012119,1.60108,422.722,144.03
0.00088,0.0012118,1.60108,422.67,144.2
0.00089,0.0012116,1.6011,422.62,144.38
0.0009,0.0012115,1.60112,422.57,144.56
