t [s],Vol [m3],P [bar],T [K],Q loss [W],,,,,,,,
0,0.0012238,1.580925,422.1475,139.71,,,,,,,,
1.00E-05,0.0012237,1.58125,422.1875,139.34,,,,,,,,
2.00E-05,0.0012236,1.581525,422.2225,139.83,,,,,,,,
3.00E-05,0.0012234,1.58185,422.26,139.97,,,,,,,,
4.00E-05,0.0012233,1.582125,422.2975,140.12,,,,,,,,
5.00E-05,0.0012232,1.58245,422.335,140.26,,,,,,,,
6.00E-05,0.0012231,1.582725,422.37,140.4,,,,,,,,
7.00E-05,0.0012229,1.583075,422.41,140.55,,,,,,,,
8.00E-05,0.0012228,1.58335,422.4525,140.69,,,,,,,,
9.00E-05,0.0012227,1.58365,422.49,140.83,,,,,,,,
0.0001,0.0012226,1.583975,422.53,140.98,,,,,,,,
0.00011,0.0012224,1.584275,422.5675,141.13,,,,,,,,
0.00012,0.0012223,1.584625,422.61,141.27,,,,,,,,
0.00013,0.0012222,1.58495,422.65,141.42,,,,,,,,
0.00014,0.0012221,1.58525,422.695,141.56,,,,,,,,
0.00015,0.0012219,1.585625,422.7425,141.71,,,,,,,,
0.00016,0.0012218,1.585925,422.7825,141.86,,,,,,,,
0.00017,0.0012217,1.586275,422.8275,142.01,,,,,,,,
0.00018,0.0012216,1.5866,422.875,142.15,,,,,,,,
0.00019,0.0012214,1.586925,422.9225,142.3,,,,,,,,
0.0002,0.0012213,1.5873,422.9675,142.45,,,,,,,,
0.00021,0.0012212,1.587625,423.0225,142.6,,,,,,,,
0.00022,0.001221,1.588,423.07,142.75,,,,,,,,
0.00023,0.0012209,1.58835,423.1225,142.9,,,,,,,,
0.00024,0.0012208,1.588725,423.1725,143.05,,,,,,,,
0.00025,0.0012207,1.5891,423.2275,143.2,,,,,,,,
0.00026,0.0012205,1.58945,423.28,143.35,,,,,,,,
0.00027,0.0012204,1.589875,423.3325,143.51,,,,,,,,
0.00028,0.0012203,1.59025,423.3925,143.66,,,,,,,,
0.00029,0.0012201,1.5906,423.4525,143.81,,,,,,,,
0.0003,0.00122,1.591,423.5075,143.96,,,,,,,,
0.00031,0.0012199,1.591425,423.57,144.12,,,,,,,,
0.00032,0.0012197,1.5918,423.6325,144.27,,,,,,,,
0.00033,0.0012196,1.592225,423.6925,144.43,,,,,,,,
0.00034,0.0012195,1.5926,423.755,144.58,,,,,,,,
0.00035,0.0012193,1.593025,423.8175,144.74,,,,,,,,
0.00036,0.0012192,1.59345,423.885,144.89,,,,,,,,
0.00037,0.0012191,1.593875,423.95,145.05,,,,,,,,
0.00038,0.0012189,1.594325,424.0175,145.2,,,,,,,,
0.00039,0.0012188,1.594725,424.0825,145.36,,,,,,,,
0.0004,0.0012187,1.595175,424.1525,145.52,,,,,,,,
0.00041,0.0012185,1.595625,424.22,145.67,,,,,,,,
0.00042,0.0012184,1.596075,424.29,145.83,,,,,,,,
0.00043,0.0012183,1.5965,424.36,145.99,,,,,,,,
0.00044,0.0012181,1.59695,424.4325,146.15,,,,,,,,
0.00045,0.001218,1.5974,424.505,146.31,,,,,,,,
0.00046,0.0012179,1.59785,424.5775,146.47,,,,,,,,
0.00047,0.0012177,1.5983,424.6525,146.63,,,,,,,,
0.00048,0.0012176,1.598775,424.7275,146.79,,,,,,,,
0.00049,0.0012174,1.59925,424.8025,146.95,,,,,,,,
0.0005,0.0012173,1.599725,424.8775,147.11,,,,,,,,
0.00051,0.0012172,1.600175,424.95,147.28,,,,,,,,
0.00052,0.001217,1.60065,425.03,147.44,,,,,,,,
0.00053,0.0012169,1.601125,425.1075,147.6,,,,,,,,
0.00054,0.0012167,1.601625,425.1875,147.76,,,,,,,,
0.00055,0.0012166,1.6021,425.2625,147.93,,,,,,,,
0.00056,0.0012165,1.602575,425.3425,148.09,,,,,,,,
0.00057,0.0012163,1.60305,425.4225,148.26,,,,,,,,
0.00058,0.0012162,1.60355,425.5,148.42,,,,,,,,
0.00059,0.001216,1.604025,425.5825,148.59,,,,,,,,
0.0006,0.0012159,1.604525,425.66,148.75,,,,,,,,
0.00061,0.0012158,1.605025,425.7425,148.92,,,,,,,,
