t [s],Vol [m3],P [bar],T [K],Q loss [W],,,,,,,,,
0,0.0012238,1.58098,422.114,137.87,,,,,,,,,
1.00E-05,0.0012237,1.58124,422.128,137.64,,,,,,,,,
2.00E-05,0.0012236,1.58144,422.142,138,,,,,,,,,
3.00E-05,0.0012234,1.58162,422.152,138.14,,,,,,,,,
4.00E-05,0.0012233,1.58182,422.166,138.28,,,,,,,,,
5.00E-05,0.0012232,1.58206,422.18,138.43,,,,,,,,,
6.00E-05,0.0012231,1.58226,422.192,138.57,,,,,,,,,
7.00E-05,0.0012229,1.58246,422.204,138.71,,,,,,,,,
8.00E-05,0.0012228,1.58266,422.214,138.86,,,,,,,,,
9.00E-05,0.0012227,1.5829,422.226,139,,,,,,,,,
0.0001,0.0012226,1.58308,422.234,139.14,,,,,,,,,
0.00011,0.0012224,1.58324,422.244,139.29,,,,,,,,,
0.00012,0.0012223,1.58344,422.252,139.43,,,,,,,,,
0.00013,0.0012222,1.58364,422.26,139.58,,,,,,,,,
0.00014,0.0012221,1.58382,422.264,139.72,,,,,,,,,
0.00015,0.0012219,1.584,422.27,139.87,,,,,,,,,
0.00016,0.0012218,1.58418,422.276,140.02,,,,,,,,,
0.00017,0.0012217,1.58436,422.28,140.16,,,,,,,,,
0.00018,0.0012216,1.58454,422.282,140.31,,,,,,,,,
0.00019,0.0012214,1.58472,422.282,140.46,,,,,,,,,
0.0002,0.0012213,1.58488,422.284,140.61,,,,,,,,,
0.00021,0.0012212,1.58508,422.282,140.76,,,,,,,,,
0.00022,0.001221,1.58522,422.284,140.9,,,,,,,,,
0.00023,0.0012209,1.58538,422.28,141.05,,,,,,,,,
0.00024,0.0012208,1.58552,422.278,141.2,,,,,,,,,
0.00025,0.0012207,1.58568,422.274,141.35,,,,,,,,,
0.00026,0.0012205,1.58582,422.268,141.5,,,,,,,,,
0.00027,0.0012204,1.58598,422.262,141.65,,,,,,,,,
0.00028,0.0012203,1.58612,422.254,141.81,,,,,,,,,
0.00029,0.0012201,1.58626,422.248,141.96,,,,,,,,,
0.0003,0.00122,1.58638,422.238,142.11,,,,,,,,,
0.00031,0.0012199,1.58654,422.232,142.26,,,,,,,,,
0.00032,0.0012197,1.58666,422.22,142.41,,,,,,,,,
0.00033,0.0012196,1.5868,422.212,142.57,,,,,,,,,
0.00034,0.0012195,1.58694,422.204,142.72,,,,,,,,,
0.00035,0.0012193,1.58706,422.19,142.88,,,,,,,,,
0.00036,0.0012192,1.5872,422.178,143.03,,,,,,,,,
0.00037,0.0012191,1.58732,422.164,143.19,,,,,,,,,
0.00038,0.0012189,1.58742,422.152,143.34,,,,,,,,,
0.00039,0.0012188,1.58758,422.136,143.5,,,,,,,,,
0.0004,0.0012187,1.58768,422.122,143.65,,,,,,,,,
0.00041,0.0012185,1.5878,422.104,143.81,,,,,,,,,
0.00042,0.0012184,1.5879,422.088,143.97,,,,,,,,,
0.00043,0.0012183,1.58802,422.072,144.13,,,,,,,,,
0.00044,0.0012181,1.58814,422.05,144.28,,,,,,,,,
0.00045,0.001218,1.58824,422.036,144.44,,,,,,,,,
0.00046,0.0012179,1.58834,422.014,144.6,,,,,,,,,
0.00047,0.0012177,1.58844,421.996,144.76,,,,,,,,,
0.00048,0.0012176,1.58854,421.97,144.92,,,,,,,,,
0.00049,0.0012174,1.58862,421.952,145.08,,,,,,,,,
0.0005,0.0012173,1.58874,421.93,145.24,,,,,,,,,
0.00051,0.0012172,1.58884,421.902,145.4,,,,,,,,,
0.00052,0.001217,1.58892,421.882,145.56,,,,,,,,,
0.00053,0.0012169,1.58902,421.856,145.73,,,,,,,,,
0.00054,0.0012167,1.58908,421.828,145.89,,,,,,,,,
0.00055,0.0012166,1.5892,421.804,146.05,,,,,,,,,
0.00056,0.0012165,1.58926,421.774,146.22,,,,,,,,,
0.00057,0.0012163,1.58932,421.746,146.38,,,,,,,,,
