t [s],Vol [m3],P [bar],T[ K],Q loss [W],,,,,,,,,
0,0.0012236,1.58935,420.57,118.5,,,,,,,,,
1.00E-05,0.0012237,1.58945,420.6125,118.37,,,,,,,,,
2.00E-05,0.0012236,1.589525,420.595,118.39,,,,,,,,,
3.00E-05,0.0012235,1.589625,420.575,118.53,,,,,,,,,
4.00E-05,0.0012234,1.589725,420.5625,118.68,,,,,,,,,
5.00E-05,0.0012232,1.58985,420.555,118.82,,,,,,,,,
6.00E-05,0.0012231,1.59005,420.56,118.96,,,,,,,,,
7.00E-05,0.001223,1.590275,420.57,119.1,,,,,,,,,
8.00E-05,0.0012229,1.5905,420.5925,119.24,,,,,,,,,
9.00E-05,0.0012227,1.5908,420.63,119.38,,,,,,,,,
0.0001,0.0012226,1.591125,420.6675,119.53,,,,,,,,,
0.00011,0.0012225,1.5915,420.7275,119.67,,,,,,,,,
0.00012,0.0012224,1.591875,420.795,119.81,,,,,,,,,
0.00013,0.0012222,1.592325,420.87,119.96,,,,,,,,,
0.00014,0.0012221,1.592825,420.9525,120.1,,,,,,,,,
0.00015,0.001222,1.593325,421.0425,120.25,,,,,,,,,
0.00016,0.0012219,1.59385,421.1375,120.39,,,,,,,,,
0.00017,0.0012217,1.5944,421.2375,120.54,,,,,,,,,
0.00018,0.0012216,1.594975,421.34,120.68,,,,,,,,,
0.00019,0.0012215,1.5955,421.44,120.83,,,,,,,,,
0.0002,0.0012213,1.596025,421.5325,120.98,,,,,,,,,
0.00021,0.0012212,1.59655,421.625,121.12,,,,,,,,,
0.00022,0.0012211,1.597025,421.71,121.27,,,,,,,,,
0.00023,0.001221,1.597475,421.785,121.42,,,,,,,,,
0.00024,0.0012208,1.5979,421.845,121.57,,,,,,,,,
0.00025,0.0012207,1.59825,421.895,121.72,,,,,,,,,
0.00026,0.0012206,1.59855,421.9325,121.86,,,,,,,,,
0.00027,0.0012205,1.598825,421.9525,122.01,,,,,,,,,
0.00028,0.0012203,1.599025,421.9575,122.16,,,,,,,,,
0.00029,0.0012202,1.599125,421.945,122.31,,,,,,,,,
0.0003,0.0012201,1.599175,421.92,122.46,,,,,,,,,
0.00031,0.0012199,1.599175,421.875,122.62,,,,,,,,,
0.00032,0.0012198,1.59915,421.8175,122.77,,,,,,,,,
0.00033,0.0012197,1.59905,421.745,122.92,,,,,,,,,
0.00034,0.0012195,1.5989,421.66,123.07,,,,,,,,,
0.00035,0.0012194,1.5987,421.565,123.22,,,,,,,,,
0.00036,0.0012193,1.598475,421.4625,123.38,,,,,,,,,
0.00037,0.0012191,1.59825,421.35,123.53,,,,,,,,,
0.00038,0.001219,1.597975,421.235,123.68,,,,,,,,,
0.00039,0.0012189,1.597725,421.1175,123.84,,,,,,,,,
0.0004,0.0012187,1.5974,421,123.99,,,,,,,,,
0.00041,0.0012186,1.5972,420.8875,124.15,,,,,,,,,
0.00042,0.0012185,1.596925,420.7725,124.3,,,,,,,,,
0.00043,0.0012183,1.5967,420.67,124.46,,,,,,,,,
0.00044,0.0012182,1.5965,420.5725,124.62,,,,,,,,,
0.00045,0.0012181,1.59635,420.48,124.77,,,,,,,,,
0.00046,0.0012179,1.5962,420.405,124.93,,,,,,,,,
0.00047,0.0012178,1.596125,420.3375,125.09,,,,,,,,,
0.00048,0.0012177,1.596125,420.2825,125.25,,,,,,,,,
0.00049,0.0012175,1.596125,420.2375,125.41,,,,,,,,,
0.0005,0.0012174,1.5962,420.2075,125.57,,,,,,,,,
0.00051,0.0012173,1.5963,420.19,125.73,,,,,,,,,
0.00052,0.0012171,1.596425,420.1775,125.89,,,,,,,,,
0.00053,0.001217,1.5966,420.1825,126.05,,,,,,,,,
0.00054,0.0012168,1.596825,420.1875,126.21,,,,,,,,,
0.00055,0.0012167,1.59705,420.2025,126.37,,,,,,,,,
0.00056,0.0012166,1.597325,420.2225,126.53,,,,,,,,,
0.00057,0.0012164,1.5976,420.2525,126.69,,,,,,,,,
0.00058,0.0012163,1.597875,420.2725,126.86,,,,,,,,,
0.00059,0.0012161,1.598175,420.3025,127.02,,,,,,,,,
0.0006,0.001216,1.59845,420.325,127.18,,,,,,,,,
0.00061,0.0012159,1.598725,420.3475,127.35,,,,,,,,,
0.00062,0.0012157,1.59895,420.3675,127.51,,,,,,,,,
0.00063,0.0012156,1.599225,420.3775,127.68,,,,,,,,,
0.00064,0.0012154,1.5994,420.385,127.84,,,,,,,,,
0.00065,0.0012153,1.5996,420.3825,128.01,,,,,,,,,
0.00066,0.0012151,1.599725,420.37,128.18,,,,,,,,,
0.00067,0.001215,1.5999,420.3525,128.34,,,,,,,,,
0.00068,0.0012149,1.59995,420.3325,128.51,,,,,,,,,
0.00069,0.0012147,1.60005,420.2975,128.68,,,,,,,,,
0.0007,0.0012146,1.600075,420.2575,128.85,,,,,,,,,
0.00071,0.0012144,1.600125,420.2125,129.01,,,,,,,,,
0.00072,0.0012143,1.6001,420.165,129.18,,,,,,,,,
0.00073,0.0012141,1.600075,420.1075,129.35,,,,,,,,,
0.00074,0.001214,1.60005,420.05,129.52,,,,,,,,,
0.00075,0.0012138,1.600025,419.99,129.69,,,,,,,,,
0.00076,0.0012137,1.6,419.9325,129.87,,,,,,,,,
0.00077,0.0012135,1.599975,419.875,130.04,,,,,,,,,
0.00078,0.0012134,1.59995,419.82,130.21,,,,,,,,,
0.00079,0.0012132,1.59995,419.77,130.38,,,,,,,,,
0.0008,0.0012131,1.59995,419.72,130.56,,,,,,,,,
0.00081,0.0012129,1.6,419.68,130.73,,,,,,,,,
0.00082,0.0012128,1.60005,419.645,130.9,,,,,,,,,
0.00083,0.0012126,1.60015,419.615,131.08,,,,,,,,,
0.00084,0.0012125,1.600275,419.5975,131.25,,,,,,,,,
0.00085,0.0012123,1.600425,419.5825,131.43,,,,,,,,,
0.00086,0.0012122,1.600575,419.575,131.6,,,,,,,,,
0.00087,0.001212,1.6008,419.575,131.78,,,,,,,,,
0.00088,0.0012119,1.601025,419.585,131.96,,,,,,,,,
0.00089,0.0012117,1.601275,419.5975,132.14,,,,,,,,,
0.0009,0.0012116,1.60155,419.6125,132.31,,,,,,,,,
0.00091,0.0012114,1.6018,419.635,132.49,,,,,,,,,
0.00092,0.0012113,1.6021,419.6625,132.67,,,,,,,,,
0.00093,0.0012111,1.602425,419.69,132.85,,,,,,,,,
0.00094,0.001211,1.602775,419.72,133.03,,,,,,,,,
0.00095,0.0012108,1.603075,419.7525,133.21,,,,,,,,,
0.00096,0.0012106,1.603375,419.7825,133.39,,,,,,,,,
0.00097,0.0012105,1.60375,419.815,133.57,,,,,,,,,
0.00098,0.0012103,1.604075,419.8375,133.75,,,,,,,,,
0.00099,0.0012102,1.60435,419.8675,133.94,,,,,,,,,
0.001,0.00121,1.604625,419.8875,134.12,,,,,,,,,
0.00101,0.0012099,1.6049,419.9075,134.3,,,,,,,,,
0.00102,0.0012097,1.605175,419.92,134.49,,,,,,,,,
0.00103,0.0012095,1.605425,419.935,134.67,,,,,,,,,
0.00104,0.0012094,1.6057,419.9375,134.85,,,,,,,,,
0.00105,0.0012092,1.6059,419.9425,135.04,,,,,,,,,
0.00106,0.0012091,1.6061,419.9475,135.23,,,,,,,,,
0.00107,0.0012089,1.60635,419.945,135.41,,,,,,,,,
0.00108,0.0012087,1.60655,419.94,135.6,,,,,,,,,
0.00109,0.0012086,1.6067,419.9375,135.79,,,,,,,,,
0.0011,0.0012084,1.6069,419.9275,135.97,,,,,,,,,
0.00111,0.0012083,1.607075,419.925,136.16,,,,,,,,,
0.00112,0.0012081,1.607275,419.9125,136.35,,,,,,,,,
0.00113,0.0012079,1.607475,419.9075,136.54,,,,,,,,,
0.00114,0.0012078,1.60765,419.8975,136.73,,,,,,,,,
0.00115,0.0012076,1.60785,419.8925,136.92,,,,,,,,,
0.00116,0.0012075,1.608025,419.885,137.11,,,,,,,,,
0.00117,0.0012073,1.608225,419.88,137.3,,,,,,,,,
0.00118,0.0012071,1.6084,419.87,137.49,,,,,,,,,
0.00119,0.001207,1.608625,419.865,137.68,,,,,,,,,
0.0012,0.0012068,1.6088,419.8575,137.88,,,,,,,,,
0.00121,0.0012066,1.609,419.8525,138.07,,,,,,,,,
0.00122,0.0012065,1.609175,419.845,138.26,,,,,,,,,
0.00123,0.0012063,1.609325,419.835,138.46,,,,,,,,,
0.00124,0.0012061,1.6095,419.8225,138.65,,,,,,,,,
0.00125,0.001206,1.6097,419.8075,138.85,,,,,,,,,
0.00126,0.0012058,1.60985,419.785,139.04,,,,,,,,,
0.00127,0.0012056,1.609975,419.7625,139.24,,,,,,,,,
0.00128,0.0012055,1.6101,419.735,139.43,,,,,,,,,
0.00129,0.0012053,1.61015,419.7025,139.63,,,,,,,,,
0.0013,0.0012051,1.610225,419.6625,139.83,,,,,,,,,
0.00131,0.001205,1.610325,419.62,140.03,,,,,,,,,
0.00132,0.0012048,1.610325,419.57,140.22,,,,,,,,,
0.00133,0.0012046,1.61035,419.515,140.42,,,,,,,,,
0.00134,0.0012044,1.610375,419.4575,140.62,,,,,,,,,
0.00135,0.0012043,1.61035,419.3975,140.82,,,,,,,,,
0.00136,0.0012041,1.610325,419.33,141.02,,,,,,,,,
0.00137,0.0012039,1.610275,419.2575,141.22,,,,,,,,,
0.00138,0.0012038,1.610275,419.19,141.42,,,,,,,,,
0.00139,0.0012036,1.6102,419.1225,141.63,,,,,,,,,
