t [s],Vol [m3],P [bar],T [K],Q loss [W],,,,,,
0,0.0012236,1.57724,420.84,227.330565,,,,,,
1.00E-05,0.0012237,1.5769,420.774,227.381385,,,,,,
2.00E-05,0.0012236,1.57656,420.642,227.11458,,,,,,
3.00E-05,0.0012235,1.57624,420.512,227.355975,,,,,,
4.00E-05,0.0012233,1.57592,420.384,227.610075,,,,,,
5.00E-05,0.0012232,1.57562,420.266,227.864175,,,,,,
6.00E-05,0.0012231,1.57534,420.15,228.118275,,,,,,
7.00E-05,0.001223,1.5751,420.044,228.35967,,,,,,
8.00E-05,0.0012228,1.57488,419.942,228.61377,,,,,,
9.00E-05,0.0012227,1.5747,419.852,228.86787,,,,,,
0.0001,0.0012226,1.5746,419.772,229.12197,,,,,,
0.00011,0.0012225,1.5745,419.708,229.37607,,,,,,
0.00012,0.0012224,1.57442,419.65,229.63017,,,,,,
0.00013,0.0012222,1.5744,419.606,229.896975,,,,,,
0.00014,0.0012221,1.57446,419.572,230.151075,,,,,,
0.00015,0.001222,1.57454,419.552,230.405175,,,,,,
0.00016,0.0012218,1.57466,419.544,230.659275,,,,,,
0.00017,0.0012217,1.57484,419.546,230.92608,,,,,,
0.00018,0.0012216,1.57508,419.566,231.18018,,,,,,
0.00019,0.0012215,1.57536,419.592,231.446985,,,,,,
0.0002,0.0012213,1.57564,419.632,231.701085,,,,,,
0.00021,0.0012212,1.57598,419.678,231.96789,,,,,,
0.00022,0.0012211,1.57634,419.736,232.22199,,,,,,
0.00023,0.001221,1.57678,419.8,232.488795,,,,,,
0.00024,0.0012208,1.57718,419.87,232.7556,,,,,,
0.00025,0.0012207,1.57764,419.944,233.022405,,,,,,
0.00026,0.0012206,1.57812,420.022,233.28921,,,,,,
0.00027,0.0012204,1.57856,420.102,233.556015,,,,,,
0.00028,0.0012203,1.57904,420.178,233.82282,,,,,,
0.00029,0.0012202,1.5795,420.258,234.089625,,,,,,
0.0003,0.0012201,1.57994,420.33,234.35643,,,,,,
0.00031,0.0012199,1.58036,420.396,234.623235,,,,,,
0.00032,0.0012198,1.58078,420.458,234.89004,,,,,,
0.00033,0.0012197,1.58114,420.508,235.156845,,,,,,
0.00034,0.0012195,1.58146,420.548,235.436355,,,,,,
0.00035,0.0012194,1.58172,420.582,235.70316,,,,,,
0.00036,0.0012193,1.58198,420.596,235.98267,,,,,,
0.00037,0.0012191,1.58214,420.6,236.249475,,,,,,
0.00038,0.001219,1.5823,420.592,236.528985,,,,,,
0.00039,0.0012189,1.58236,420.568,236.79579,,,,,,
0.0004,0.0012187,1.58242,420.53,237.0753,,,,,,
0.00041,0.0012186,1.5824,420.48,237.35481,,,,,,
0.00042,0.0012185,1.58234,420.418,237.63432,,,,,,
0.00043,0.0012183,1.58222,420.342,237.91383,,,,,,
0.00044,0.0012182,1.58206,420.256,238.19334,,,,,,
0.00045,0.0012181,1.58188,420.158,238.47285,,,,,,
0.00046,0.0012179,1.58166,420.056,238.75236,,,,,,
0.00047,0.0012178,1.58146,419.948,239.03187,,,,,,
0.00048,0.0012177,1.58118,419.84,239.31138,,,,,,
0.00049,0.0012175,1.58092,419.726,239.59089,,,,,,
0.0005,0.0012174,1.58074,419.618,239.883105,,,,,,
0.00051,0.0012172,1.5805,419.512,240.162615,,,,,,
0.00052,0.0012171,1.5803,419.416,240.45483,,,,,,
0.00053,0.001217,1.58014,419.326,240.73434,,,,,,
0.00054,0.0012168,1.58008,419.252,241.026555,,,,,,
0.00055,0.0012167,1.57998,419.19,241.31877,,,,,,
0.00056,0.0012166,1.57998,419.144,241.59828,,,,,,
0.00057,0.0012164,1.58008,419.112,241.890495,,,,,,
0.00058,0.0012163,1.5802,419.1,242.18271,,,,,,
0.00059,0.0012161,1.58042,419.11,242.474925,,,,,,
0.0006,0.001216,1.58072,419.142,242.76714,,,,,,
0.00061,0.0012158,1.58108,419.188,243.059355,,,,,,
0.00062,0.0012157,1.5815,419.256,243.35157,,,,,,
0.00063,0.0012156,1.58204,419.344,243.643785,,,,,,
0.00064,0.0012154,1.58262,419.444,243.948705,,,,,,
0.00065,0.0012153,1.58324,419.56,244.24092,,,,,,
0.00066,0.0012151,1.58392,419.69,244.533135,,,,,,
0.00067,0.001215,1.58462,419.83,244.838055,,,,,,
0.00068,0.0012148,1.58538,419.978,245.13027,,,,,,
0.00069,0.0012147,1.58614,420.13,245.43519,,,,,,
0.0007,0.0012146,1.58688,420.276,245.74011,,,,,,
0.00071,0.0012144,1.58766,420.426,246.032325,,,,,,
0.00072,0.0012143,1.58838,420.568,246.337245,,,,,,
0.00073,0.0012141,1.58908,420.7,246.642165,,,,,,
0.00074,0.001214,1.58972,420.82,246.947085,,,,,,
0.00075,0.0012138,1.59032,420.928,247.252005,,,,,,
0.00076,0.0012137,1.59082,421.014,247.556925,,,,,,
0.00077,0.0012135,1.5913,421.078,247.861845,,,,,,
0.00078,0.0012134,1.59168,421.124,248.166765,,,,,,
0.00079,0.0012132,1.59194,421.148,248.48439,,,,,,
0.0008,0.0012131,1.59214,421.15,248.78931,,,,,,
0.00081,0.0012129,1.59224,421.126,249.09423,,,,,,
0.00082,0.0012128,1.59228,421.08,249.411855,,,,,,
0.00083,0.0012126,1.59222,421.012,249.716775,,,,,,
0.00084,0.0012125,1.59206,420.928,250.0344,,,,,,
0.00085,0.0012123,1.5919,420.826,250.352025,,,,,,
0.00086,0.0012122,1.59164,420.71,250.656945,,,,,,
0.00087,0.001212,1.59136,420.582,250.97457,,,,,,
0.00088,0.0012119,1.59106,420.446,251.292195,,,,,,
0.00089,0.0012117,1.59072,420.304,251.60982,,,,,,
0.0009,0.0012116,1.59038,420.164,251.927445,,,,,,
0.00091,0.0012114,1.59008,420.026,252.24507,,,,,,
0.00092,0.0012113,1.58978,419.898,252.5754,,,,,,
0.00093,0.0012111,1.58952,419.778,252.893025,,,,,,
0.00094,0.0012109,1.58934,419.676,253.21065,,,,,,
0.00095,0.0012108,1.5892,419.588,253.54098,,,,,,
0.00096,0.0012106,1.58914,419.518,253.858605,,,,,,
0.00097,0.0012105,1.5892,419.474,254.188935,,,,,,
0.00098,0.0012103,1.58928,419.452,254.50656,,,,,,
0.00099,0.0012102,1.58948,419.452,254.83689,,,,,,
0.001,0.00121,1.58982,419.478,255.16722,,,,,,
0.00101,0.0012098,1.5902,419.528,255.49755,,,,,,
0.00102,0.0012097,1.5907,419.604,255.815175,,,,,,
