t [s],Vol [m3],P [bar],T [K],Q loss [W],,,,,,,,
0,0.0012236,1.58435,421.2,220.352,,,,,,,,
1.00E-05,0.0012236,1.58415,421.145,220.96,,,,,,,,
2.00E-05,0.0012235,1.5839,421.04,220.304,,,,,,,,
3.00E-05,0.0012234,1.5837,420.94,220.544,,,,,,,,
4.00E-05,0.0012233,1.5835,420.84,220.8,,,,,,,,
5.00E-05,0.0012231,1.58325,420.745,221.04,,,,,,,,
6.00E-05,0.001223,1.5831,420.655,221.28,,,,,,,,
7.00E-05,0.0012229,1.583,420.575,221.52,,,,,,,,
8.00E-05,0.0012228,1.58285,420.5,221.776,,,,,,,,
9.00E-05,0.0012226,1.58275,420.435,222.016,,,,,,,,
0.0001,0.0012225,1.5827,420.37,222.256,,,,,,,,
0.00011,0.0012224,1.5827,420.325,222.512,,,,,,,,
0.00012,0.0012222,1.58265,420.28,222.752,,,,,,,,
0.00013,0.0012221,1.5827,420.245,223.008,,,,,,,,
0.00014,0.001222,1.5828,420.22,223.248,,,,,,,,
0.00015,0.0012219,1.58285,420.2,223.504,,,,,,,,
0.00016,0.0012217,1.58305,420.195,223.744,,,,,,,,
0.00017,0.0012216,1.5832,420.195,224,,,,,,,,
0.00018,0.0012215,1.5834,420.2,224.256,,,,,,,,
0.00019,0.0012214,1.5836,420.215,224.512,,,,,,,,
0.0002,0.0012212,1.5838,420.235,224.752,,,,,,,,
0.00021,0.0012211,1.5841,420.26,225.008,,,,,,,,
0.00022,0.001221,1.5844,420.29,225.264,,,,,,,,
0.00023,0.0012208,1.5847,420.325,225.52,,,,,,,,
0.00024,0.0012207,1.585,420.365,225.776,,,,,,,,
0.00025,0.0012206,1.5853,420.4,226.032,,,,,,,,
0.00026,0.0012204,1.5856,420.445,226.288,,,,,,,,
0.00027,0.0012203,1.58595,420.48,226.544,,,,,,,,
0.00028,0.0012202,1.5863,420.525,226.8,,,,,,,,
0.00029,0.0012201,1.58655,420.56,227.072,,,,,,,,
0.0003,0.0012199,1.5869,420.595,227.328,,,,,,,,
0.00031,0.0012198,1.58715,420.625,227.584,,,,,,,,
0.00032,0.0012197,1.5875,420.655,227.856,,,,,,,,
0.00033,0.0012195,1.5877,420.675,228.112,,,,,,,,
0.00034,0.0012194,1.5879,420.69,228.368,,,,,,,,
0.00035,0.0012193,1.58815,420.695,228.64,,,,,,,,
0.00036,0.0012191,1.5883,420.695,228.896,,,,,,,,
0.00037,0.001219,1.58845,420.675,229.168,,,,,,,,
0.00038,0.0012189,1.5885,420.65,229.424,,,,,,,,
0.00039,0.0012187,1.58855,420.62,229.696,,,,,,,,
0.0004,0.0012186,1.58855,420.57,229.968,,,,,,,,
0.00041,0.0012184,1.58845,420.505,230.24,,,,,,,,
0.00042,0.0012183,1.58835,420.43,230.496,,,,,,,,
0.00043,0.0012182,1.5882,420.335,230.768,,,,,,,,
0.00044,0.001218,1.58795,420.23,231.04,,,,,,,,
0.00045,0.0012179,1.58765,420.11,231.312,,,,,,,,
0.00046,0.0012178,1.58735,419.975,231.584,,,,,,,,
0.00047,0.0012176,1.58695,419.825,231.856,,,,,,,,
0.00048,0.0012175,1.58655,419.66,232.128,,,,,,,,
0.00049,0.0012173,1.58605,419.49,232.4,,,,,,,,
0.0005,0.0012172,1.5855,419.295,232.672,,,,,,,,
0.00051,0.0012171,1.58495,419.1,232.944,,,,,,,,
0.00052,0.0012169,1.58435,418.9,233.232,,,,,,,,
0.00053,0.0012168,1.58375,418.685,233.504,,,,,,,,
0.00054,0.0012166,1.5831,418.465,233.776,,,,,,,,
0.00055,0.0012165,1.5824,418.25,234.064,,,,,,,,
0.00056,0.0012164,1.58175,418.03,234.336,,,,,,,,
0.00057,0.0012162,1.58115,417.81,234.624,,,,,,,,
0.00058,0.0012161,1.5805,417.6,234.896,,,,,,,,
0.00059,0.0012159,1.57995,417.39,235.184,,,,,,,,
0.0006,0.0012158,1.57935,417.195,235.472,,,,,,,,
