t [s],Vol [m3],P [bar],T [K],Q loss [W],,,,,,,,,
0,0.0012236,1.57955,446.3425,208.215,,,,,,,,,
1.00E-05,0.0012237,1.5803,446.5675,208.365,,,,,,,,,
2.00E-05,0.0012235,1.5811,446.7425,208.17,,,,,,,,,
3.00E-05,0.0012234,1.581875,446.91,208.41,,,,,,,,,
4.00E-05,0.0012233,1.5826,447.0775,208.65,,,,,,,,,
5.00E-05,0.0012232,1.583325,447.235,208.875,,,,,,,,,
6.00E-05,0.001223,1.58405,447.3875,209.115,,,,,,,,,
7.00E-05,0.0012229,1.5847,447.53,209.355,,,,,,,,,
8.00E-05,0.0012228,1.58535,447.66,209.595,,,,,,,,,
9.00E-05,0.0012227,1.5859,447.7825,209.835,,,,,,,,,
0.0001,0.0012225,1.586475,447.89,210.075,,,,,,,,,
0.00011,0.0012224,1.586975,447.9825,210.315,,,,,,,,,
0.00012,0.0012223,1.587425,448.0625,210.555,,,,,,,,,
0.00013,0.0012222,1.5878,448.1275,210.795,,,,,,,,,
0.00014,0.001222,1.588175,448.18,211.05,,,,,,,,,
0.00015,0.0012219,1.58845,448.22,211.29,,,,,,,,,
0.00016,0.0012218,1.5887,448.2425,211.53,,,,,,,,,
0.00017,0.0012216,1.588925,448.25,211.785,,,,,,,,,
0.00018,0.0012215,1.58905,448.2475,212.025,,,,,,,,,
0.00019,0.0012214,1.589175,448.2325,212.265,,,,,,,,,
0.0002,0.0012213,1.589225,448.205,212.52,,,,,,,,,
0.00021,0.0012211,1.589275,448.1725,212.76,,,,,,,,,
0.00022,0.001221,1.589275,448.125,213.015,,,,,,,,,
0.00023,0.0012209,1.589275,448.0775,213.255,,,,,,,,,
0.00024,0.0012208,1.58925,448.02,213.51,,,,,,,,,
0.00025,0.0012206,1.5892,447.9625,213.765,,,,,,,,,
0.00026,0.0012205,1.589175,447.905,214.005,,,,,,,,,
0.00027,0.0012204,1.58915,447.8425,214.26,,,,,,,,,
0.00028,0.0012202,1.5891,447.7875,214.515,,,,,,,,,
0.00029,0.0012201,1.58905,447.735,214.77,,,,,,,,,
0.0003,0.00122,1.589075,447.69,215.025,,,,,,,,,
0.00031,0.0012198,1.5891,447.65,215.28,,,,,,,,,
0.00032,0.0012197,1.589175,447.62,215.535,,,,,,,,,
0.00033,0.0012196,1.589275,447.6025,215.79,,,,,,,,,
