t [s],Vol [m3],P [bar],T [K],Q loss [W],,,,,,,
0,0.0012236,1.587175,472.6425,141.5145,,,,,,,
0.00001,0.0012237,1.58785,472.8475,141.2505,,,,,,,
0.00002,0.0012236,1.588475,472.9925,141.4095,,,,,,,
0.00003,0.0012234,1.5891,473.1325,141.567,,,,,,,
0.00004,0.0012233,1.58975,473.275,141.7245,,,,,,,
0.00005,0.0012232,1.5904,473.4175,141.8835,,,,,,,
0.00006,0.0012231,1.591,473.5525,142.0425,,,,,,,
0.00007,0.0012229,1.591625,473.6925,142.2015,,,,,,,
0.00008,0.0012228,1.592275,473.83,142.3605,,,,,,,
0.00009,0.0012227,1.592875,473.9625,142.521,,,,,,,
0.0001,0.0012226,1.5935,474.0925,142.6815,,,,,,,
0.00011,0.0012224,1.5941,474.2225,142.842,,,,,,,
0.00012,0.0012223,1.594675,474.345,143.0025,,,,,,,
0.00013,0.0012222,1.595225,474.4675,143.1645,,,,,,,
0.00014,0.0012221,1.595775,474.5825,143.3265,,,,,,,
0.00015,0.0012219,1.596325,474.6875,143.4885,,,,,,,
0.00016,0.0012218,1.596825,474.79,143.652,,,,,,,
0.00017,0.0012217,1.5973,474.88,143.8155,,,,,,,
0.00018,0.0012216,1.59775,474.9675,143.979,,,,,,,
0.00019,0.0012214,1.598175,475.0425,144.1425,,,,,,,
0.0002,0.0012213,1.598575,475.1075,144.3075,,,,,,,
0.00021,0.0012212,1.59895,475.1675,144.4725,,,,,,,
0.00022,0.001221,1.599275,475.2125,144.6375,,,,,,,
0.00023,0.0012209,1.5996,475.2525,144.804,,,,,,,
0.00024,0.0012208,1.599825,475.2825,144.9705,,,,,,,
0.00025,0.0012207,1.60005,475.3,145.137,,,,,,,
0.00026,0.0012205,1.60025,475.3075,145.3035,,,,,,,
0.00027,0.0012204,1.6004,475.305,145.4715,,,,,,,
0.00028,0.0012203,1.60055,475.3,145.6395,,,,,,,
0.00029,0.0012201,1.600675,475.28,145.809,,,,,,,
0.0003,0.00122,1.6008,475.2625,145.977,,,,,,,
0.00031,0.0012199,1.600875,475.2375,146.1465,,,,,,,
0.00032,0.0012197,1.600925,475.21,146.3175,,,,,,,
0.00033,0.0012196,1.601,475.1725,146.487,,,,,,,
0.00034,0.0012195,1.60105,475.14,146.658,,,,,,,
0.00035,0.0012193,1.601125,475.1075,146.829,,,,,,,
0.00036,0.0012192,1.601175,475.0775,147.0015,,,,,,,
0.00037,0.0012191,1.601275,475.0475,147.174,,,,,,,
0.00038,0.0012189,1.60135,475.0225,147.3465,,,,,,,
0.00039,0.0012188,1.601475,475.0025,147.519,,,,,,,
0.0004,0.0012187,1.6016,474.99,147.693,,,,,,,
0.00041,0.0012185,1.601775,474.985,147.867,,,,,,,
0.00042,0.0012184,1.60195,474.9875,148.0425,,,,,,,
0.00043,0.0012183,1.602125,474.9975,148.2165,,,,,,,
0.00044,0.0012181,1.6024,475.0125,148.392,,,,,,,
0.00045,0.001218,1.602625,475.04,148.569,,,,,,,
0.00046,0.0012179,1.60295,475.075,148.746,,,,,,,
0.00047,0.0012177,1.603275,475.1175,148.923,,,,,,,
0.00048,0.0012176,1.603625,475.1675,149.1,,,,,,,
0.00049,0.0012175,1.604,475.2225,149.2785,,,,,,,
0.0005,0.0012173,1.604375,475.2875,149.457,,,,,,,
0.00051,0.0012172,1.6048,475.355,149.6355,,,,,,,
0.00052,0.001217,1.605225,475.43,149.8155,,,,,,,
0.00053,0.0012169,1.605675,475.505,149.9955,,,,,,,
0.00054,0.0012168,1.606125,475.585,150.18,,,,,,,
0.00055,0.0012166,1.6066,475.665,150.36,,,,,,,
0.00056,0.0012165,1.60705,475.7425,150.54,,,,,,,
0.00057,0.0012163,1.6075,475.825,150.72,,,,,,,
0.00058,0.0012162,1.60795,475.9025,150.9,,,,,,,
0.00059,0.0012161,1.6084,475.9775,151.08,,,,,,,
0.0006,0.0012159,1.608825,476.05,151.275,,,,,,,
0.00061,0.0012158,1.60925,476.12,151.455,,,,,,,
0.00062,0.0012156,1.609675,476.1875,151.635,,,,,,,
0.00063,0.0012155,1.61005,476.2475,151.815,,,,,,,
0.00064,0.0012153,1.610425,476.3025,152.01,,,,,,,
0.00065,0.0012152,1.610825,476.3575,152.19,,,,,,,
0.00066,0.0012151,1.61115,476.4075,152.385,,,,,,,
0.00067,0.0012149,1.611525,476.45,152.565,,,,,,,
0.00068,0.0012148,1.61185,476.495,152.76,,,,,,,
0.00069,0.0012146,1.6122,476.535,152.94,,,,,,,
0.0007,0.0012145,1.612525,476.5725,153.135,,,,,,,
0.00071,0.0012143,1.61285,476.6125,153.315,,,,,,,
0.00072,0.0012142,1.61315,476.6475,153.51,,,,,,,
0.00073,0.001214,1.613475,476.685,153.705,,,,,,,
0.00074,0.0012139,1.6138,476.725,153.885,,,,,,,
0.00075,0.0012137,1.61415,476.765,154.08,,,,,,,
0.00076,0.0012136,1.614475,476.8075,154.275,,,,,,,
0.00077,0.0012134,1.61485,476.8525,154.47,,,,,,,
0.00078,0.0012133,1.615225,476.9,154.665,,,,,,,
0.00079,0.0012131,1.615575,476.955,154.845,,,,,,,
0.0008,0.001213,1.61595,477.01,155.04,,,,,,,
0.00081,0.0012128,1.616375,477.07,155.235,,,,,,,
0.00082,0.0012127,1.616775,477.1325,155.43,,,,,,,
0.00083,0.0012125,1.6172,477.1925,155.625,,,,,,,
0.00084,0.0012124,1.617625,477.2625,155.82,,,,,,,
0.00085,0.0012122,1.618075,477.3325,156.015,,,,,,,
0.00086,0.0012121,1.618525,477.4,156.225,,,,,,,
0.00087,0.0012119,1.61895,477.4725,156.42,,,,,,,
0.00088,0.0012118,1.619425,477.545,156.615,,,,,,,
0.00089,0.0012116,1.619875,477.615,156.81,,,,,,,
0.0009,0.0012115,1.620275,477.6825,157.005,,,,,,,
0.00091,0.0012113,1.6207,477.7475,157.215,,,,,,,
0.00092,0.0012112,1.621175,477.8125,157.41,,,,,,,
0.00093,0.001211,1.62155,477.87,157.605,,,,,,,
0.00094,0.0012108,1.62195,477.9275,157.815,,,,,,,
0.00095,0.0012107,1.62235,477.9775,158.01,,,,,,,
0.00096,0.0012105,1.6227,478.0225,158.22,,,,,,,
0.00097,0.0012104,1.62305,478.0625,158.415,,,,,,,
0.00098,0.0012102,1.623375,478.095,158.625,,,,,,,
0.00099,0.0012101,1.623675,478.1225,158.82,,,,,,,
0.001,0.0012099,1.623975,478.15,159.03,,,,,,,
0.00101,0.0012097,1.62425,478.165,159.24,,,,,,,
0.00102,0.0012096,1.6245,478.18,159.435,,,,,,,
0.00103,0.0012094,1.62475,478.19,159.645,,,,,,,
0.00104,0.0012093,1.624975,478.195,159.855,,,,,,,
0.00105,0.0012091,1.625225,478.195,160.065,,,,,,,
0.00106,0.0012089,1.625425,478.1975,160.275,,,,,,,
0.00107,0.0012088,1.625625,478.195,160.47,,,,,,,
0.00108,0.0012086,1.62585,478.1925,160.68,,,,,,,
0.00109,0.0012085,1.626075,478.19,160.89,,,,,,,
0.0011,0.0012083,1.626275,478.1925,161.1,,,,,,,
0.00111,0.0012081,1.626525,478.195,161.31,,,,,,,
0.00112,0.001208,1.626725,478.1975,161.52,,,,,,,
0.00113,0.0012078,1.627,478.2025,161.73,,,,,,,
0.00114,0.0012076,1.627225,478.215,161.955,,,,,,,
0.00115,0.0012075,1.627525,478.2275,162.165,,,,,,,
0.00116,0.0012073,1.627775,478.245,162.375,,,,,,,
0.00117,0.0012072,1.628075,478.27,162.585,,,,,,,
0.00118,0.001207,1.628375,478.2925,162.81,,,,,,,
0.00119,0.0012068,1.6287,478.3225,163.02,,,,,,,
0.0012,0.0012067,1.629075,478.3575,163.23,,,,,,,
0.00121,0.0012065,1.6294,478.3925,163.455,,,,,,,
0.00122,0.0012063,1.629775,478.4325,163.665,,,,,,,
0.00123,0.0012062,1.63015,478.475,163.875,,,,,,,
0.00124,0.001206,1.6305,478.52,164.1,,,,,,,
0.00125,0.0012058,1.6309,478.565,164.31,,,,,,,
0.00126,0.0012057,1.63125,478.61,164.535,,,,,,,
0.00127,0.0012055,1.63165,478.655,164.76,,,,,,,
0.00128,0.0012053,1.632025,478.695,164.97,,,,,,,
0.00129,0.0012051,1.6324,478.74,165.195,,,,,,,
0.0013,0.001205,1.63275,478.775,165.42,,,,,,,
0.00131,0.0012048,1.633125,478.815,165.63,,,,,,,
0.00132,0.0012046,1.63345,478.845,165.855,,,,,,,
0.00133,0.0012045,1.6338,478.8725,166.08,,,,,,,
0.00134,0.0012043,1.6341,478.9,166.305,,,,,,,
0.00135,0.0012041,1.634375,478.92,166.53,,,,,,,
0.00136,0.0012039,1.6347,478.9375,166.755,,,,,,,
0.00137,0.0012038,1.634975,478.9475,166.98,,,,,,,
0.00138,0.0012036,1.635225,478.9575,167.205,,,,,,,
0.00139,0.0012034,1.635475,478.965,167.43,,,,,,,
0.0014,0.0012033,1.63575,478.9675,167.655,,,,,,,
0.00141,0.0012031,1.636,478.9675,167.88,,,,,,,
0.00142,0.0012029,1.636225,478.965,168.105,,,,,,,
0.00143,0.0012027,1.63645,478.965,168.33,,,,,,,
0.00144,0.0012026,1.636675,478.96,168.555,,,,,,,
0.00145,0.0012024,1.6369,478.965,168.795,,,,,,,
0.00146,0.0012022,1.637125,478.96,169.02,,,,,,,
0.00147,0.001202,1.6374,478.965,169.245,,,,,,,
0.00148,0.0012018,1.63765,478.965,169.485,,,,,,,
0.00149,0.0012017,1.6379,478.9675,169.71,,,,,,,
0.0015,0.0012015,1.63815,478.975,169.95,,,,,,,
0.00151,0.0012013,1.63845,478.9875,170.175,,,,,,,
0.00152,0.0012011,1.63875,479,170.415,,,,,,,
0.00153,0.001201,1.63905,479.015,170.64,,,,,,,
0.00154,0.0012008,1.63935,479.0375,170.88,,,,,,,
0.00155,0.0012006,1.639625,479.0575,171.105,,,,,,,
0.00156,0.0012004,1.639975,479.0825,171.345,,,,,,,
0.00157,0.0012002,1.640325,479.105,171.585,,,,,,,
0.00158,0.0012001,1.640675,479.1325,171.81,,,,,,,
0.00159,0.0011999,1.641,479.1575,172.05,,,,,,,
0.0016,0.0011997,1.64135,479.185,172.29,,,,,,,
0.00161,0.0011995,1.641675,479.2075,172.53,,,,,,,
0.00162,0.0011993,1.642,479.2325,172.77,,,,,,,
0.00163,0.0011992,1.642325,479.2525,173.01,,,,,,,
0.00164,0.001199,1.6426,479.27,173.25,,,,,,,
0.00165,0.0011988,1.642925,479.28,173.49,,,,,,,
0.00166,0.0011986,1.6432,479.2875,173.73,,,,,,,
0.00167,0.0011984,1.64345,479.2925,173.97,,,,,,,
0.00168,0.0011982,1.6437,479.2875,174.21,,,,,,,
0.00169,0.001198,1.6439,479.28,174.45,,,,,,,
0.0017,0.0011979,1.644125,479.265,174.69,,,,,,,
0.00171,0.0011977,1.6443,479.24,174.93,,,,,,,
0.00172,0.0011975,1.644425,479.2125,175.185,,,,,,,
0.00173,0.0011973,1.6446,479.18,175.425,,,,,,,
0.00174,0.0011971,1.6447,479.1425,175.665,,,,,,,
0.00175,0.0011969,1.6448,479.0975,175.92,,,,,,,
0.00176,0.0011967,1.64495,479.0525,176.16,,,,,,,
0.00177,0.0011966,1.645,479.0025,176.4,,,,,,,
0.00178,0.0011964,1.645075,478.95,176.655,,,,,,,
0.00179,0.0011962,1.645175,478.8975,176.895,,,,,,,
0.0018,0.001196,1.645225,478.845,177.15,,,,,,,
0.00181,0.0011958,1.645325,478.7925,177.405,,,,,,,
0.00182,0.0011956,1.6454,478.745,177.645,,,,,,,
0.00183,0.0011954,1.645475,478.695,177.9,,,,,,,
0.00184,0.0011952,1.645625,478.6525,178.155,,,,,,,
0.00185,0.001195,1.64575,478.615,178.395,,,,,,,
0.00186,0.0011948,1.645875,478.5825,178.65,,,,,,,
0.00187,0.0011947,1.646075,478.55,178.905,,,,,,,
0.00188,0.0011945,1.646225,478.53,179.16,,,,,,,
0.00189,0.0011943,1.64645,478.51,179.415,,,,,,,
0.0019,0.0011941,1.646675,478.505,179.655,,,,,,,
0.00191,0.0011939,1.646925,478.5,179.91,,,,,,,
0.00192,0.0011937,1.6472,478.5025,180.165,,,,,,,
0.00193,0.0011935,1.6475,478.51,180.42,,,,,,,
0.00194,0.0011933,1.647825,478.5275,180.69,,,,,,,
0.00195,0.0011931,1.64815,478.5475,180.945,,,,,,,
0.00196,0.0011929,1.648525,478.575,181.2,,,,,,,
0.00197,0.0011927,1.6489,478.6025,181.455,,,,,,,
0.00198,0.0011925,1.649275,478.635,181.71,,,,,,,
0.00199,0.0011923,1.64965,478.6725,181.965,,,,,,,
0.002,0.0011921,1.6501,478.71,182.235,,,,,,,
0.00201,0.0011919,1.6505,478.7475,182.49,,,,,,,
0.00202,0.0011917,1.6509,478.7925,182.745,,,,,,,
0.00203,0.0011915,1.65135,478.8325,183.015,,,,,,,
0.00204,0.0011913,1.65175,478.875,183.27,,,,,,,
0.00205,0.0011911,1.652175,478.9175,183.54,,,,,,,
0.00206,0.0011909,1.6526,478.96,183.795,,,,,,,
0.00207,0.0011907,1.653,479,184.065,,,,,,,
0.00208,0.0011905,1.653425,479.0425,184.32,,,,,,,
0.00209,0.0011903,1.65385,479.0825,184.59,,,,,,,
0.0021,0.0011901,1.654275,479.125,184.86,,,,,,,
0.00211,0.0011899,1.6547,479.1675,185.115,,,,,,,
0.00212,0.0011897,1.655125,479.2125,185.385,,,,,,,
0.00213,0.0011895,1.655575,479.255,185.655,,,,,,,
0.00214,0.0011893,1.655975,479.3025,185.925,,,,,,,
0.00215,0.0011891,1.65645,479.3525,186.195,,,,,,,
0.00216,0.0011889,1.656925,479.4025,186.45,,,,,,,
0.00217,0.0011887,1.6574,479.4575,186.72,,,,,,,
0.00218,0.0011885,1.65785,479.515,186.99,,,,,,,
0.00219,0.0011883,1.658375,479.58,187.26,,,,,,,
0.0022,0.0011881,1.6589,479.6425,187.53,,,,,,,
0.00221,0.0011879,1.659425,479.7125,187.8,,,,,,,
0.00222,0.0011877,1.65995,479.7875,188.085,,,,,,,
0.00223,0.0011875,1.66055,479.87,188.355,,,,,,,
0.00224,0.0011873,1.6611,479.9525,188.625,,,,,,,
0.00225,0.0011871,1.661675,480.04,188.895,,,,,,,
0.00226,0.0011869,1.662325,480.13,189.165,,,,,,,
0.00227,0.0011867,1.662925,480.2225,189.45,,,,,,,
0.00228,0.0011865,1.663525,480.32,189.72,,,,,,,
0.00229,0.0011863,1.664175,480.4175,189.99,,,,,,,
0.0023,0.0011861,1.664775,480.515,190.275,,,,,,,
0.00231,0.0011859,1.6654,480.6075,190.545,,,,,,,
0.00232,0.0011857,1.666025,480.7,190.83,,,,,,,
0.00233,0.0011854,1.666625,480.79,191.1,,,,,,,
0.00234,0.0011852,1.667225,480.88,191.385,,,,,,,
0.00235,0.001185,1.6678,480.96,191.655,,,,,,,
0.00236,0.0011848,1.668375,481.0325,191.94,,,,,,,
0.00237,0.0011846,1.6689,481.105,192.225,,,,,,,
0.00238,0.0011844,1.669375,481.165,192.495,,,,,,,
0.00239,0.0011842,1.6699,481.22,192.78,,,,,,,
0.0024,0.001184,1.67035,481.2625,193.065,,,,,,,
0.00241,0.0011838,1.670775,481.2975,193.35,,,,,,,
0.00242,0.0011835,1.671175,481.325,193.62,,,,,,,
0.00243,0.0011833,1.671525,481.3375,193.905,,,,,,,
0.00244,0.0011831,1.6718,481.345,194.19,,,,,,,
0.00245,0.0011829,1.672125,481.3425,194.475,,,,,,,
0.00246,0.0011827,1.6724,481.3325,194.76,,,,,,,
0.00247,0.0011825,1.672625,481.3125,195.045,,,,,,,
0.00248,0.0011823,1.672825,481.2875,195.33,,,,,,,
0.00249,0.0011821,1.673,481.2525,195.615,,,,,,,
0.0025,0.0011818,1.6732,481.215,195.915,,,,,,,
0.00251,0.0011816,1.67335,481.17,196.2,,,,,,,
0.00252,0.0011814,1.6735,481.125,196.485,,,,,,,
0.00253,0.0011812,1.6736,481.075,196.77,,,,,,,
0.00254,0.001181,1.67375,481.025,197.055,,,,,,,
